Plant,Root,Type,Stem / Growth Form,Leaf Traits,Reproductive Traits,Stress Tolerance,Special Adaptations,Common Name,Vegetable,Fruit,Medicinal Plant,Commercial Crop,Ornamental Plant,Fodder Crop
Solanum macrocarpon,Taproot,fibrous,"Perennial shrub, up to 1m   ","Ovate, 10-20cm long, hairy     ",Purple/white flowers; berries,Moderate drought; heat-tolerant,Edible fruit; pest resistance,Wild Brinjal,0,1,1,0,0,0
Abelmoschus caillei,Taproot,fibrous,"Annual herb, up to 2m       ","Palmate, 10-20cm long, lobed   ",Yellow flowers; capsules with seeds,Moderate drought; humid tropics,Mucilaginous pods; rapid growth,West African Okra,0,1,0,0,0,0
Sesbania grandiflora,Taproot,fibrous,"Perennial shrub, up to 8m   ","Pinnate, 15-30cm long          ",White/red flowers; pods with seeds,Drought-tolerant; nitrogen-fixing,Nitrogen fixation; edible flowers,Agathi,1,0,1,0,0,1
Amaranthus tricolor,Fibrous,shallow,"Annual herb, up to 1m       ","Ovate, 5-15cm long, colorful   ",Green/red flowers; achenes,Moderate drought; heat-tolerant,High nutrient content; rapid regeneration,Red Amaranth,1,0,1,1,0,0
Benincasa hispida,Taproot,shallow,"Annual vine, up to 3m       ","Broad, 10-25cm wide, lobed     ",Yellow flowers; pepo fruits,Moderate drought; tropical,Waxy fruit coating; water retention,Ash Gourd,0,1,1,1,0,0
Capsicum annuum var. grossum,Fibrous,shallow,"Perennial shrub, up to 1m   ","Ovate, 5-15cm long, glossy     ",White flowers; berries,Moderate drought; heat-tolerant,Thick-walled fruit; pest resistance,Bell Pepper,0,1,0,1,0,0
Capsicum frutescens,Fibrous,shallow,"Perennial shrub, up to 1m   ","Ovate, 5-10cm long, glossy     ",White flowers; berries,Moderate drought; heat-tolerant,High capsaicin; drought tolerance,Bird’s Eye Chili,0,1,1,1,0,0
Momordica charantia,Taproot,shallow,"Annual vine, up to 4m       ","Palmate, 5-10cm wide, lobed    ",Yellow flowers; pepo fruits,Moderate drought; tropical,Bitter compounds; rapid climbing,Bitter Gourd,0,1,1,1,0,0
Capsicum chinense,Fibrous,shallow,"Perennial shrub, up to 1m   ","Ovate, 5-15cm long, glossy     ",White flowers; berries,Moderate drought; heat-tolerant,Very spicy fruit; pest resistance,Naga Chili,0,1,1,0,0,0
Lagenaria siceraria,Taproot,shallow,"Annual vine, up to 3m       ","Broad, 10-20cm wide, lobed     ",White flowers; pepo fruits,Moderate drought; tropical,Hard rind; water storage,Bottle Gourd,0,1,1,1,0,0
Artocarpus altilis,Taproot,deep,"Evergreen tree, up to 20m   ","Large, 20-60cm long, glossy    ",Small flowers; syncarp fruit,Drought-tolerant; tropical,Edible fruit; wind-resistant canopy,Breadfruit,0,1,0,0,0,0
Solanum melongena,Taproot,fibrous,"Perennial shrub, up to 1m   ","Ovate, 10-20cm long, hairy     ",Purple/white flowers; berries,Moderate drought; heat-tolerant,Spiny stems; pest resistance,Eggplant,0,1,1,1,0,0
Pisonia grandis,Taproot,deep,"Evergreen tree, up to 15m   ","Ovate, 10-25cm long, glossy    ",Small greenish flowers; drupes,Moderate drought; coastal,Sticky leaves trap insects,Cabbage Tree,0,1,0,0,0,0
Cnidoscolus aconitifolius,Taproot,fibrous,"Perennial shrub, up to 2m   ","Palmate, 10-20cm long, lobed   ",Small white flowers; capsules,Moderate drought; heat-tolerant,Stinging hairs; high protein content,Tree Spinach,1,0,0,0,0,1
Sauropus androgynous,Fibrous,shallow,"Perennial shrub, up to 1m   ","Ovate, 5-10cm long, glossy     ",Small flowers; capsules with seeds,Moderate drought; tropical,Edible leaves; rapid growth,Sweet Leaf,1,0,1,0,0,0
Ipomoea muricata,Fibrous,shallow,"Perennial vine, up to 3m    ","Cordate, 5-15cm long, glossy   ",Purple flowers; capsules with seeds,Moderate drought; heat-tolerant,Climbing habit; edible seeds,Purple Morning Glory,0,1,1,0,0,0
Cyamopsis tetragonoloba,Taproot,fibrous,"Annual herb, up to 1m       ","Pinnate, 5-10cm long           ",Purple/white flowers; pods with seeds,Drought-tolerant; nitrogen-fixing,Nitrogen fixation; edible pods,Cluster Bean,0,1,1,1,0,0
Hibiscus acetosella,Taproot,fibrous,"Perennial shrub, up to 1.5m ","Palmate, 5-15cm wide, lobed    ",Pink flowers; capsules with seeds,Moderate drought; heat-tolerant,Acidic leaves; ornamental value,Red Leaf Hibiscus,1,0,0,0,1,0
Murraya koenigii,Taproot,fibrous,"Evergreen shrub, up to 5m   ","Pinnate, 10-20cm long, aromatic",Small white flowers; berries,Drought-tolerant; tropical,Aromatic leaves; pest-repellent oils,Curry Leaf Plant,0,1,1,1,0,0
Moringa oleifera,Taproot,deep,"Deciduous tree, up to 10m   ","Pinnate, 20-40cm long          ",White flowers; pods with seeds,Drought-tolerant; heat-tolerant,Nutrient-rich pods; deep roots,Moringa,1,0,1,1,0,1
Alternanthera sessilis,Fibrous,shallow,"Perennial herb, up to 0.5m  ","Ovate, 2-5cm long, glossy      ",Small white flowers; achenes,Moderate drought; moist soils,Edible leaves; rapid regeneration,ponnanganni,1,0,1,0,1,1
Momordica cochinchinensis,Taproot,shallow,"Perennial vine, up to 5m    ","Palmate, 5-10cm wide, lobed    ",Yellow flowers; pepo fruits,Moderate drought; tropical,Red fruit pulp; medicinal properties,Spiny gourd,0,1,1,0,0,0
Capsicum baccatum,Fibrous,shallow,"Perennial shrub, up to 1m   ","Ovate, 5-15cm long, glossy     ",White flowers; berries,Moderate drought; heat-tolerant,Spicy fruit; pest resistance,Chilli,0,1,1,0,0,0
Cucurbita moschata,Taproot,shallow,"Annual vine, up to 3m       ","Broad, 15-30cm wide, lobed     ",Yellow flowers; pepo fruits,Moderate drought; tropical,Thick rind; water retention,Pumpkin,0,1,1,1,0,0
Basella rubra,Fibrous,shallow,"Perennial vine, up to 3m    ","Ovate, 5-15cm long, glossy     ",Small white flowers; berries,Moderate drought; heat-tolerant,Red stems; climbing habit,Indian Spinach / Malabar Spinach,1,0,1,0,1,1
Cucurbita maxima,Taproot,shallow,"Annual vine, up to 3m       ","Broad, 15-30cm wide, lobed     ",Yellow flowers; pepo fruits,Moderate drought; tropical,Large fruit size; water storage,Red Pumpkin,0,1,1,1,0,0
Luffa acutangula,Taproot,shallow,"Annual vine, up to 4m       ","Palmate, 10-20cm wide, lobed   ",Yellow flowers; pepo fruits,Moderate drought; tropical,Fibrous fruit; rapid climbing,Ridge Gourd,0,1,1,1,0,0
Hibiscus sabdariffa,Taproot,fibrous,"Annual/perennial shrub, up to 2m ","Palmate, 5-15cm wide, lobed    ",Yellow flowers; calyces with seeds,Moderate drought; heat-tolerant,Edible calyces; acid content,Roselle,0,1,1,1,1,0
Phaseolus coccineus,Taproot,fibrous,"Perennial climber, up to 3m ","Trifoliate, 5-15cm long        ",Red/white flowers; pods with seeds,Moderate drought; nitrogen-fixing,Climbing habit; edible pods,Scarlet Runner Bean,0,1,0,0,0,0
Cucumis sativus,Taproot,shallow,"Annual vine, up to 2m       ","Broad, 5-15cm wide, lobed      ",Yellow flowers; pepo fruits,Moderate drought; tropical,Thin-skinned fruit; rapid growth,Cucumber,0,1,1,1,0,0
Luffa cylindrica,Taproot,shallow,"Annual vine, up to 4m       ","Palmate, 10-20cm wide, lobed   ",Yellow flowers; pepo fruits,Moderate drought; tropical,Smooth fruit; fibrous interior,Sponge Gourd,0,1,0,1,0,0
Trichosanthes cucumerina,Taproot,shallow,"Annual vine, up to 4m       ","Palmate, 5-15cm wide, lobed    ",White flowers; pepo fruits,Moderate drought; tropical,Long fruit; climbing adaptation,Snake gourd,0,1,1,1,0,0
Momordica dioica,Taproot,shallow,"Perennial vine, up to 3m    ","Palmate, 5-10cm wide, lobed    ",Yellow flowers; pepo fruits,Moderate drought; tropical,Spiny fruit; dioecious reproduction,Spine gourd,0,1,1,1,0,0
Amaranthus dubius,Fibrous,shallow,"Annual herb, up to 1m       ","Ovate, 5-15cm long, glossy     ",Green/red flowers; achenes,Moderate drought; heat-tolerant,High nutrient content; rapid growth,Red Amaranth,1,0,1,1,0,1
Cucurbita pepo,Taproot,shallow,"Annual vine, up to 3m       ","Broad, 15-30cm wide, lobed     ",Yellow flowers; pepo fruits,Moderate drought; tropical,Tender fruit; versatile growth,Pumpkin,0,1,1,1,0,0
Canavalia gladiata,Taproot,fibrous,"Perennial climber, up to 3m ","Pinnate, 5-15cm long           ",Purple/white flowers; pods with seeds,Drought-tolerant; nitrogen-fixing,Nitrogen fixation; edible pods,Sword bean,0,1,1,0,0,0
Xanthosoma brasiliense,Rhizomatous,Rhizomatous,"Perennial herb, up to 1.5m  ","Arrow-shaped, 30-60cm long      ",Spadix with spathe; corms,Shade-tolerant; high humidity,Edible leaves/corms; waterlogging tolerance,Malanga / Taro,1,0,0,0,0,0
Momordica subangulata,Taproot,shallow,"Perennial vine, up to 3m    ","Palmate, 5-10cm wide, lobed    ",Yellow flowers; pepo fruits,Moderate drought; tropical,Spiny fruit; medicinal use,Wild Bitter Gourd,0,1,0,0,0,0
Solanum lycopersicum,Taproot,fibrous,"Annual/perennial shrub, up to 1m ","Pinnate, 10-20cm long          ",Yellow flowers; berries,Moderate drought; heat-tolerant,High lycopene; pest resistance,Tomato,0,1,0,1,0,0
