Plant,Root Type,Stem / Growth Form,Leaf Traits,Reproductive Traits,Stress Tolerance,Special Adaptations,Vegetable
Solanum macrocarpon    ,"Taproot, fibrous       ","Perennial shrub, up to 1m   ","Ovate, 10-20cm long, hairy     ",Purple/white flowers; berries        ,Moderate drought; heat-tolerant   ,Edible fruit; pest resistance                ,
Abelmoschus caillei    ,"Taproot, fibrous       ","Annual herb, up to 2m       ","Palmate, 10-20cm long, lobed   ",Yellow flowers; capsules with seeds  ,Moderate drought; humid tropics   ,Mucilaginous pods; rapid growth              ,
Sesbania grandiflora   ,"Taproot, fibrous       ","Perennial shrub, up to 8m   ","Pinnate, 15-30cm long          ",White/red flowers; pods with seeds   ,Drought-tolerant; nitrogen-fixing ,Nitrogen fixation; edible flowers            ,
Amaranthus tricolor    ,"Fibrous, shallow       ","Annual herb, up to 1m       ","Ovate, 5-15cm long, colorful   ",Green/red flowers; achenes           ,Moderate drought; heat-tolerant   ,High nutrient content; rapid regeneration    ,
Benincasa hispida      ,"Taproot, shallow       ","Annual vine, up to 3m       ","Broad, 10-25cm wide, lobed     ",Yellow flowers; pepo fruits          ,Moderate drought; tropical        ,Waxy fruit coating; water retention          ,
Capsicum annuum var. grossum ,"Fibrous, shallow ","Perennial shrub, up to 1m   ","Ovate, 5-15cm long, glossy     ",White flowers; berries               ,Moderate drought; heat-tolerant   ,Thick-walled fruit; pest resistance          ,
Capsicum frutescens    ,"Fibrous, shallow       ","Perennial shrub, up to 1m   ","Ovate, 5-10cm long, glossy     ",White flowers; berries               ,Moderate drought; heat-tolerant   ,High capsaicin; drought tolerance            ,
Momordica charantia    ,"Taproot, shallow       ","Annual vine, up to 4m       ","Palmate, 5-10cm wide, lobed    ",Yellow flowers; pepo fruits          ,Moderate drought; tropical        ,Bitter compounds; rapid climbing             ,
Capsicum chinense      ,"Fibrous, shallow       ","Perennial shrub, up to 1m   ","Ovate, 5-15cm long, glossy     ",White flowers; berries               ,Moderate drought; heat-tolerant   ,Very spicy fruit; pest resistance            ,
Lagenaria siceraria    ,"Taproot, shallow       ","Annual vine, up to 3m       ","Broad, 10-20cm wide, lobed     ",White flowers; pepo fruits           ,Moderate drought; tropical        ,Hard rind; water storage                    ,
Artocarpus altilis     ,"Taproot, deep          ","Evergreen tree, up to 20m   ","Large, 20-60cm long, glossy    ",Small flowers; syncarp fruit         ,Drought-tolerant; tropical        ,Edible fruit; wind-resistant canopy          ,
Solanum melongena      ,"Taproot, fibrous       ","Perennial shrub, up to 1m   ","Ovate, 10-20cm long, hairy     ",Purple/white flowers; berries        ,Moderate drought; heat-tolerant   ,Spiny stems; pest resistance                 ,
