Plant,Root Type,Stem / Growth Form,Leaf Traits,Reproductive Traits,Stress Tolerance,Special Adaptations,Vegetable,Common Name,Fruit,Medicinal Plant,Commercial Crop,Ornamental Plant,Fodder Crop,Miscellaneous Use
Solanum macrocarpon    ,"Taproot, fibrous       ","Perennial shrub, up to 1m   ","Ovate, 10-20cm long, hairy     ",Purple/white flowers; berries        ,Moderate drought; heat-tolerant   ,Edible fruit; pest resistance                ,1,Solanum macrocarpon    ,0,0,0,0,0,0
Abelmoschus caillei    ,"Taproot, fibrous       ","Annual herb, up to 2m       ","Palmate, 10-20cm long, lobed   ",Yellow flowers; capsules with seeds  ,Moderate drought; humid tropics   ,Mucilaginous pods; rapid growth              ,1,Abelmoschus caillei    ,0,0,0,0,0,0
Sesbania grandiflora   ,"Taproot, fibrous       ","Perennial shrub, up to 8m   ","Pinnate, 15-30cm long          ",White/red flowers; pods with seeds   ,Drought-tolerant; nitrogen-fixing ,Nitrogen fixation; edible flowers            ,1,Sesbania grandiflora   ,0,0,0,0,0,0
Amaranthus tricolor    ,"Fibrous, shallow       ","Annual herb, up to 1m       ","Ovate, 5-15cm long, colorful   ",Green/red flowers; achenes           ,Moderate drought; heat-tolerant   ,High nutrient content; rapid regeneration    ,1,Amaranthus tricolor    ,0,0,0,0,0,0
Benincasa hispida      ,"Taproot, shallow       ","Annual vine, up to 3m       ","Broad, 10-25cm wide, lobed     ",Yellow flowers; pepo fruits          ,Moderate drought; tropical        ,Waxy fruit coating; water retention          ,0,Benincasa hispida      ,0,0,0,0,0,0
Capsicum annuum var. grossum ,"Fibrous, shallow ","Perennial shrub, up to 1m   ","Ovate, 5-15cm long, glossy     ",White flowers; berries               ,Moderate drought; heat-tolerant   ,Thick-walled fruit; pest resistance          ,1,Capsicum annuum var. grossum ,0,0,0,0,0,0
Capsicum frutescens    ,"Fibrous, shallow       ","Perennial shrub, up to 1m   ","Ovate, 5-10cm long, glossy     ",White flowers; berries               ,Moderate drought; heat-tolerant   ,High capsaicin; drought tolerance            ,1,Capsicum frutescens    ,0,0,0,0,0,0
Momordica charantia    ,"Taproot, shallow       ","Annual vine, up to 4m       ","Palmate, 5-10cm wide, lobed    ",Yellow flowers; pepo fruits          ,Moderate drought; tropical        ,Bitter compounds; rapid climbing             ,1,Momordica charantia    ,0,0,0,0,0,0
Capsicum chinense      ,"Fibrous, shallow       ","Perennial shrub, up to 1m   ","Ovate, 5-15cm long, glossy     ",White flowers; berries               ,Moderate drought; heat-tolerant   ,Very spicy fruit; pest resistance            ,1,Capsicum chinense      ,0,0,0,0,0,0
Lagenaria siceraria    ,"Taproot, shallow       ","Annual vine, up to 3m       ","Broad, 10-20cm wide, lobed     ",White flowers; pepo fruits           ,Moderate drought; tropical        ,Hard rind; water storage                    ,1,Lagenaria siceraria    ,0,0,0,0,0,0
Artocarpus altilis     ,"Taproot, deep          ","Evergreen tree, up to 20m   ","Large, 20-60cm long, glossy    ",Small flowers; syncarp fruit         ,Drought-tolerant; tropical        ,Edible fruit; wind-resistant canopy          ,1,Artocarpus altilis     ,0,0,0,0,0,0
Solanum melongena      ,"Taproot, fibrous       ","Perennial shrub, up to 1m   ","Ovate, 10-20cm long, hairy     ",Purple/white flowers; berries        ,Moderate drought; heat-tolerant   ,Spiny stems; pest resistance                 ,1,Solanum melongena      ,0,0,0,0,0,0
Pisonia grandis        ,"Taproot, deep          ","Evergreen tree, up to 15m   ","Ovate, 10-25cm long, glossy    ",Small greenish flowers; drupes       ,Moderate drought; coastal         ,Sticky leaves trap insects                   ,1,Pisonia grandis        ,0,0,0,0,0,0
Cnidoscolus aconitifolius ,"Taproot, fibrous    ","Perennial shrub, up to 2m   ","Palmate, 10-20cm long, lobed   ",Small white flowers; capsules        ,Moderate drought; heat-tolerant   ,Stinging hairs; high protein content         ,0,Cnidoscolus aconitifolius ,0,0,0,0,0,0
Sauropus androgynous   ,"Fibrous, shallow       ","Perennial shrub, up to 1m   ","Ovate, 5-10cm long, glossy     ",Small flowers; capsules with seeds   ,Moderate drought; tropical        ,Edible leaves; rapid growth                  ,1,Sauropus androgynous   ,0,0,0,0,0,0
Ipomoea muricata       ,"Fibrous, shallow       ","Perennial vine, up to 3m    ","Cordate, 5-15cm long, glossy   ",Purple flowers; capsules with seeds  ,Moderate drought; heat-tolerant   ,Climbing habit; edible seeds                 ,1,Ipomoea muricata       ,0,0,0,0,0,0
Cyamopsis tetragonoloba ,"Taproot, fibrous     ","Annual herb, up to 1m       ","Pinnate, 5-10cm long           ",Purple/white flowers; pods with seeds,Drought-tolerant; nitrogen-fixing ,Nitrogen fixation; edible pods               ,1,Cyamopsis tetragonoloba ,0,0,0,0,0,0
Hibiscus acetosella    ,"Taproot, fibrous       ","Perennial shrub, up to 1.5m ","Palmate, 5-15cm wide, lobed    ",Pink flowers; capsules with seeds    ,Moderate drought; heat-tolerant   ,Acidic leaves; ornamental value              ,1,Hibiscus acetosella    ,0,0,0,0,0,0
Murraya koenigii       ,"Taproot, fibrous       ","Evergreen shrub, up to 5m   ","Pinnate, 10-20cm long, aromatic",Small white flowers; berries         ,Drought-tolerant; tropical        ,Aromatic leaves; pest-repellent oils         ,0,Murraya koenigii       ,0,0,0,0,0,0
Moringa oleifera       ,"Taproot, deep          ","Deciduous tree, up to 10m   ","Pinnate, 20-40cm long          ",White flowers; pods with seeds       ,Drought-tolerant; heat-tolerant   ,Nutrient-rich pods; deep roots               ,1,Moringa oleifera       ,0,0,0,0,0,0
Alternanthera sessilis ,"Fibrous, shallow       ","Perennial herb, up to 0.5m  ","Ovate, 2-5cm long, glossy      ",Small white flowers; achenes         ,Moderate drought; moist soils     ,Edible leaves; rapid regeneration            ,1,Alternanthera sessilis ,0,0,0,0,0,0
Momordica cochinchinensis ,"Taproot, shallow   ","Perennial vine, up to 5m    ","Palmate, 5-10cm wide, lobed    ",Yellow flowers; pepo fruits          ,Moderate drought; tropical        ,Red fruit pulp; medicinal properties         ,1,Momordica cochinchinensis ,0,0,0,0,0,0
Capsicum baccatum      ,"Fibrous, shallow       ","Perennial shrub, up to 1m   ","Ovate, 5-15cm long, glossy     ",White flowers; berries               ,Moderate drought; heat-tolerant   ,Spicy fruit; pest resistance                 ,1,Capsicum baccatum      ,0,0,0,0,0,0
Cucurbita moschata     ,"Taproot, shallow       ","Annual vine, up to 3m       ","Broad, 15-30cm wide, lobed     ",Yellow flowers; pepo fruits          ,Moderate drought; tropical        ,Thick rind; water retention                  ,1,Cucurbita moschata     ,0,0,0,0,0,0
Basella rubra          ,"Fibrous, shallow       ","Perennial vine, up to 3m    ","Ovate, 5-15cm long, glossy     ",Small white flowers; berries         ,Moderate drought; heat-tolerant   ,Red stems; climbing habit                    ,1,Basella rubra          ,0,0,0,0,0,0
Cucurbita maxima       ,"Taproot, shallow       ","Annual vine, up to 3m       ","Broad, 15-30cm wide, lobed     ",Yellow flowers; pepo fruits          ,Moderate drought; tropical        ,Large fruit size; water storage              ,1,Cucurbita maxima       ,0,0,0,0,0,0
Luffa acutangula       ,"Taproot, shallow       ","Annual vine, up to 4m       ","Palmate, 10-20cm wide, lobed   ",Yellow flowers; pepo fruits          ,Moderate drought; tropical        ,Fibrous fruit; rapid climbing                ,1,Luffa acutangula       ,0,0,0,0,0,0
Hibiscus sabdariffa    ,"Taproot, fibrous       ","Annual/perennial shrub, up to 2m ","Palmate, 5-15cm wide, lobed    ",Yellow flowers; calyces with seeds   ,Moderate drought; heat-tolerant   ,Edible calyces; acid content                 ,0,Hibiscus sabdariffa    ,0,0,0,0,0,0
Phaseolus coccineus    ,"Taproot, fibrous       ","Perennial climber, up to 3m ","Trifoliate, 5-15cm long        ",Red/white flowers; pods with seeds   ,Moderate drought; nitrogen-fixing ,Climbing habit; edible pods                  ,1,Phaseolus coccineus    ,0,0,0,0,0,0
Cucumis sativus        ,"Taproot, shallow       ","Annual vine, up to 2m       ","Broad, 5-15cm wide, lobed      ",Yellow flowers; pepo fruits          ,Moderate drought; tropical        ,Thin-skinned fruit; rapid growth             ,1,Cucumis sativus        ,0,0,0,0,0,0
Luffa cylindrica       ,"Taproot, shallow       ","Annual vine, up to 4m       ","Palmate, 10-20cm wide, lobed   ",Yellow flowers; pepo fruits          ,Moderate drought; tropical        ,Smooth fruit; fibrous interior               ,1,Luffa cylindrica       ,0,0,0,0,0,0
Trichosanthes cucumerina ,"Taproot, shallow    ","Annual vine, up to 4m       ","Palmate, 5-15cm wide, lobed    ",White flowers; pepo fruits           ,Moderate drought; tropical        ,Long fruit; climbing adaptation              ,0,Trichosanthes cucumerina ,0,0,0,0,0,0
Momordica dioica       ,"Taproot, shallow       ","Perennial vine, up to 3m    ","Palmate, 5-10cm wide, lobed    ",Yellow flowers; pepo fruits          ,Moderate drought; tropical        ,Spiny fruit; dioecious reproduction          ,0,Momordica dioica       ,0,0,0,0,0,0
Amaranthus dubius      ,"Fibrous, shallow       ","Annual herb, up to 1m       ","Ovate, 5-15cm long, glossy     ",Green/red flowers; achenes           ,Moderate drought; heat-tolerant   ,High nutrient content; rapid growth          ,1,Amaranthus dubius      ,0,0,0,0,0,0
Cucurbita pepo         ,"Taproot, shallow       ","Annual vine, up to 3m       ","Broad, 15-30cm wide, lobed     ",Yellow flowers; pepo fruits          ,Moderate drought; tropical        ,Tender fruit; versatile growth               ,1,Cucurbita pepo         ,0,0,0,0,0,0
Canavalia gladiata     ,"Taproot, fibrous       ","Perennial climber, up to 3m ","Pinnate, 5-15cm long           ",Purple/white flowers; pods with seeds,Drought-tolerant; nitrogen-fixing ,Nitrogen fixation; edible pods               ,1,Canavalia gladiata     ,0,0,0,0,0,0
Xanthosoma brasiliense ,Rhizomatous            ,"Perennial herb, up to 1.5m  ","Arrow-shaped, 30-60cm long      ",Spadix with spathe; corms            ,Shade-tolerant; high humidity     ,Edible leaves/corms; waterlogging tolerance  ,1,Xanthosoma brasiliense ,0,0,0,0,0,0
Momordica subangulata  ,"Taproot, shallow       ","Perennial vine, up to 3m    ","Palmate, 5-10cm wide, lobed    ",Yellow flowers; pepo fruits          ,Moderate drought; tropical        ,Spiny fruit; medicinal use                   ,1,Momordica subangulata  ,0,0,0,0,0,0
Solanum lycopersicum   ,"Taproot, fibrous       ","Annual/perennial shrub, up to 1m ","Pinnate, 10-20cm long          ",Yellow flowers; berries              ,Moderate drought; heat-tolerant   ,High lycopene; pest resistance               ,1,Solanum lycopersicum   ,0,0,0,0,0,0
Mucuna pruriens var. utilis ,"Taproot, fibrous  ","Perennial climber, up to 3m ","Trifoliate, 5-15cm long        ",Purple flowers; pods with seeds      ,Drought-tolerant; nitrogen-fixing ,Nitrogen fixation; hairy pods                ,1,Mucuna pruriens var. utilis ,0,0,0,0,0,0
Talinum triangulare    ,"Fibrous, shallow       ","Perennial herb, up to 0.5m  ","Ovate, 5-10cm long, glossy     ",Small pink flowers; capsules         ,Moderate drought; moist soils     ,Edible leaves; water retention               ,1,Talinum triangulare    ,0,0,0,0,0,0
Citrullus lanatus      ,"Taproot, deep          ","Annual vine, up to 3m       ","Broad, 5-15cm wide, lobed      ",Yellow flowers; pepo fruits          ,Drought-tolerant; heat-tolerant   ,High water content; deep root system         ,1,Citrullus lanatus      ,0,0,0,0,0,0
Ipomoea aquatica       ,"Fibrous, shallow       ","Perennial vine, up to 3m    ","Arrow-shaped, 5-15cm long      ",Purple/white flowers; capsules       ,Moderate drought; moist soils     ,Aquatic growth; edible shoots                ,1,Ipomoea aquatica       ,0,0,0,0,0,0
Psophocarpus tetragonolobus ,"Taproot, fibrous ","Perennial climber, up to 3m ","Trifoliate, 5-15cm long        ",Purple/white flowers; pods with seeds,Drought-tolerant; nitrogen-fixing ,Nitrogen fixation; winged pods               ,1,Psophocarpus tetragonolobus ,0,0,0,0,0,0
Vigna unguiculata subsp. sesquipedalis ,"Taproot, fibrous ","Annual climber, up to 3m    ","Trifoliate, 5-15cm long        ",Purple/white flowers; pods with seeds,Drought-tolerant; nitrogen-fixing ,Long pods; heat tolerance                    ,0,Vigna unguiculata subsp. sesquipedalis ,0,0,0,0,0,0
